"Value","Qty","Reference","Footprint"
"100nF","6","C1,C2,C3,C4,C6,C7","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm"
"MCU","1","J1","GS_Connectors:JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal"
"SIG.IN","1","J2","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal"
"Input","1","SW1","Button_Switch_THT:SW_XKB_DM1-16UP-1"
"LM358","1","U2","Package_DIP:DIP-8_W7.62mm_LongPads"
"10uF","1","C5","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm"
"100k","4","R1,R2,R5,R6","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal"
"1k","2","R3,R4","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal"
"LM311","1","U1","Package_DIP:DIP-8_W7.62mm_LongPads"
